chromosome	position	strand	refGenome	reads	subject	externalSampleID	internalSampleID	cellType	timePoint	estAbund	relAbund	nearestFeature	inFeature	nearestFeatureStrand	inFeatureExon	nearestFeatureDist	nearestOncoFeature	nearestOncoFeatureDist	posid
chr1	17205382	+	hg38	1020	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	PADI1	TRUE	+	FALSE	0	PADI2	-85928	chr1+17205382
chr1	19478680	+	hg38	1497	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	CAPZB	TRUE	-	FALSE	0	NBL1	-164547	chr1+19478680
chr1	205505410	+	hg38	1111	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	CDK18	TRUE	+	FALSE	0	CDK18	0	chr1+205505410
chr1	223846843	+	hg38	824	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	TP53BP2	FALSE	-	FALSE	-870	TP53BP2	-870	chr1+223846843
chr1	234842354	+	hg38	806	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	PP2672	FALSE	-	FALSE	-82297	IRF2BP2	-232828	chr1+234842354
chr1	246816146	+	hg38	396	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	AHCTF1	FALSE	-	FALSE	22950	SMYD3	-308803	chr1+246816146
chr1	247332377	+	hg38	3693	p402	402	GTSP3599	PBMC	M21	3	0.20161290322580644	ZNF496	FALSE	-	FALSE	-436	SMYD3	-825034	chr1+247332377
chr1	26279632	+	hg38	2	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	SH3BGRL3	FALSE	+	FALSE	-88	CD52	-38286	chr1+26279632
chr1	45522613	+	hg38	676	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	PRDX1	TRUE	-	FALSE	0	PRDX1	0	chr1+45522613
chr1	55216463	+	hg38	1402	p402	402	GTSP3599	PBMC	M21	3	0.20161290322580644	LOC100507634	TRUE	+	TRUE	-0	USP24	-1096	chr1+55216463
chr1	61079015	+	hg38	2337	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	NFIA	TRUE	+	FALSE	0	PATJ	-663449	chr1+61079015
chr1	62795483	+	hg38	12	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	ATG4C	TRUE	+	FALSE	0	PATJ	631562	chr1+62795483
chr1	66279628	+	hg38	11	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	PDE4B	TRUE	+	FALSE	-0	MIER1	-645265	chr1+66279628
chr1	86219672	+	hg38	2075	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	COL24A1	FALSE	-	FALSE	-62635	CYR61	635704	chr1+86219672
chr1	93186605	+	hg38	847	p402	402	GTSP3599	PBMC	M21	3	0.20161290322580644	CCDC18	TRUE	+	FALSE	0	GFI1	-699728	chr1+93186605
chr1	94720228	+	hg38	1409	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	SLC44A3-AS1	TRUE	-	FALSE	-0	ALG14	262493	chr1+94720228
chr1	9629762	+	hg38	6	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	TMEM201	FALSE	+	FALSE	14884	PIK3CD	-21967	chr1+9629762
chr1	99766003	+	hg38	43	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	FRRS1	FALSE	-	FALSE	-209	COL11A1	3110462	chr1+99766003
chr10	114059445	-	hg38	16	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	ADRB1	FALSE	+	FALSE	12536	TCF7L2	891766	chr10-114059445
chr10	114806030	-	hg38	3	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	FAM160B1	FALSE	+	FALSE	-15712	TCF7L2	1638351	chr10-114806030
chr10	13758495	-	hg38	25	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	FRMD4A	TRUE	-	FALSE	-0	CUBN	3065469	chr10-13758495
chr10	30502112	-	hg38	191	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	MAP3K8	FALSE	+	FALSE	40278	MAP3K8	40278	chr10-30502112
chr10	49242580	-	hg38	643	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	C10orf71-AS1	FALSE	-	FALSE	53701	ERCC6	211898	chr10-49242580
chr10	72296575	-	hg38	264	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	DDIT4	FALSE	+	FALSE	20538	PSAP	-445199	chr10-72296575
chr10	79073667	-	hg38	1541	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	ZMIZ1	TRUE	+	FALSE	0	ZMIZ1	0	chr10-79073667
chr10	79135694	-	hg38	621	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	ZMIZ1	TRUE	+	FALSE	0	ZMIZ1	0	chr10-79135694
chr10	9008789	-	hg38	5	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	LOC105755953	FALSE	+	FALSE	94192	GATA3	933587	chr10-9008789
chr10	96305609	-	hg38	1938	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	DNTT	TRUE	+	FALSE	0	FRAT1	-1013654	chr10-96305609
chr10	102118830	+	hg38	218	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	LDB1	TRUE	-	FALSE	0	LDB1	0	chr10+102118830
chr10	110077745	+	hg38	11	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	ADD3	TRUE	+	FALSE	-0	ADD3	-0	chr10+110077745
chr10	11711110	+	hg38	14	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	ECHDC3	FALSE	+	FALSE	-31245	GATA3	3635908	chr10+11711110
chr10	129140426	+	hg38	1404	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	LOC728327	FALSE	+	FALSE	224154	PTPRE	1054570	chr10+129140426
chr10	132383530	+	hg38	142	p402	402	GTSP3599	PBMC	M21	3	0.20161290322580644	LRRC27	FALSE	+	FALSE	2023	BNIP3	-401516	chr10+132383530
chr10	132561838	+	hg38	376	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	INPP5A	TRUE	+	FALSE	0	BNIP3	-579824	chr10+132561838
chr10	17201821	+	hg38	1411	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	TRDMT1	TRUE	-	TRUE	0	CUBN	-72003	chr10+17201821
chr10	22501148	+	hg38	46	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	PIP4K2A	FALSE	-	FALSE	33687	BMI1	169662	chr10+22501148
chr10	30503379	+	hg38	319	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	MAP3K8	FALSE	+	FALSE	41545	MAP3K8	41545	chr10+30503379
chr10	30554734	+	hg38	29	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	LYZL2	FALSE	-	FALSE	57043	MAP3K8	92900	chr10+30554734
chr10	32347794	+	hg38	7	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	EPC1,LOC102031319	TRUE	-,+	FALSE	0	MAP3K8	1885960	chr10+32347794
chr10	45558319	+	hg38	20	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	MARCH8	TRUE	-	FALSE	0	ALOX5	112199	chr10+45558319
chr10	71749182	+	hg38	946	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	CDH23,VSIR	TRUE	+,-	TRUE	0	PSAP	67099	chr10+71749182
chr10	74476303	+	hg38	13	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	ADK	TRUE	+	FALSE	-0	KAT6B	-350108	chr10+74476303
chr10	79182353	+	hg38	10	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	ZMIZ1	TRUE	+	FALSE	0	ZMIZ1	0	chr10+79182353
chr10	88383781	+	hg38	922	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	RNLS	TRUE	-	FALSE	-0	PTEN	411850	chr10+88383781
chr11	118235349	-	hg38	3652	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	MPZL3	TRUE	-	FALSE	-0	TMPRSS4	115505	chr11-118235349
chr11	123063392	-	hg38	3441	p402	402	GTSP3599	PBMC	M21	3	0.20161290322580644	HSPA8	FALSE	-	FALSE	-1056	SCN3B	565793	chr11-123063392
chr11	128508424	-	hg38	779	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	ETS1	TRUE	-	FALSE	-0	ETS1	-0	chr11-128508424
chr11	14500227	-	hg38	2758	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	COPB1	FALSE	-	FALSE	-331	RRAS2	-135720	chr11-14500227
chr11	2300824	-	hg38	201	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	C11orf21	TRUE	-	FALSE	0	IGF2	-151220	chr11-2300824
chr11	2304495	-	hg38	1544	p402	402	GTSP3599	PBMC	M21	4	0.2688172043010753	TSPAN32	TRUE	+	FALSE	0	IGF2	-154891	chr11-2304495
chr11	33896770	-	hg38	8	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	LMO2	FALSE	-	FALSE	-4480	LMO2	-4480	chr11-33896770
chr11	57529051	-	hg38	1245	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	TIMM10	TRUE	-	FALSE	-0	SLC43A1	-13331	chr11-57529051
chr11	64744464	-	hg38	4	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	RASGRP2	TRUE	-	FALSE	0	RASGRP2	0	chr11-64744464
chr11	64811003	-	hg38	35	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	MEN1	TRUE	-	TRUE	0	MEN1	0	chr11-64811003
chr11	65416964	-	hg38	1347	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	FRMD8	FALSE	+	FALSE	3438	FRMD8	3438	chr11-65416964
chr11	65640328	-	hg38	82	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	SIPA1	TRUE	+	FALSE	0	SIPA1	0	chr11-65640328
chr11	66281505	-	hg38	1422	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	CNIH2	TRUE	+	FALSE	-0	CD248	32980	chr11-66281505
chr11	73537941	-	hg38	127	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	FAM168A	TRUE	-	FALSE	0	PLEKHB1	-108235	chr11-73537941
chr11	98304994	-	hg38	272	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	CNTN5	FALSE	+	FALSE	-715980	MAML2	-1961813	chr11-98304994
chr11	10588598	+	hg38	14244	p402	402	GTSP3599	PBMC	M21	20	1.3440860215053765	MRVI1-AS1,MRVI1	TRUE	+,-	FALSE	-0	MRVI1	-0	chr11+10588598
chr11	121449049	+	hg38	9	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	SORL1	FALSE	+	FALSE	-3152	SORL1	-3152	chr11+121449049
chr11	121477661	+	hg38	21	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	SORL1	TRUE	+	FALSE	0	SORL1	0	chr11+121477661
chr11	121584349	+	hg38	1286	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	SORL1	TRUE	+	FALSE	-0	SORL1	-0	chr11+121584349
chr11	18321976	+	hg38	1325	p402	402	GTSP3599	PBMC	M21	3	0.20161290322580644	HPS5	TRUE	-	TRUE	0	GTF2H1	-291	chr11+18321976
chr11	307773	+	hg38	4	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	IFITM2	FALSE	+	FALSE	-332	PGGHG	12084	chr11+307773
chr11	33897585	+	hg38	1297	p402	402	GTSP3599	PBMC	M21	3	0.20161290322580644	LMO2	FALSE	-	FALSE	-5295	LMO2	-5295	chr11+33897585
chr11	35111976	+	hg38	700	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	LOC100507144	FALSE	-	FALSE	20672	CD44	-26892	chr11+35111976
chr11	44578585	+	hg38	2256	p402	402	GTSP3599	PBMC	M21	6	0.4032258064516129	CD82	TRUE	+	FALSE	0	CD82	0	chr11+44578585
chr11	46674323	+	hg38	1205	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	ATG13	TRUE	+	TRUE	-0	MDK	290485	chr11+46674323
chr11	61357583	+	hg38	386	p402	402	GTSP3599	PBMC	M21	4	0.2688172043010753	CYB561A3	TRUE	-	FALSE	0	SDHAF2	-72540	chr11+61357583
chr11	64360533	+	hg38	6	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	RPS6KA4	TRUE	+	TRUE	0	ESRRA	43789	chr11+64360533
chr11	69299408	+	hg38	1615	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	MYEOV	FALSE	+	FALSE	2120	MYEOV	2120	chr11+69299408
chr11	72222067	+	hg38	48	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	FOLR2	FALSE	+	FALSE	116	INPPL1	-2769	chr11+72222067
chr11	75331250	+	hg38	36	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	ARRB1	TRUE	-	FALSE	0	NEU3	323551	chr11+75331250
chr11	9363977	+	hg38	577	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	IPO7	FALSE	+	FALSE	-20643	SWAP70	-300098	chr11+9363977
chr11	95697813	+	hg38	717	p402	402	GTSP3599	PBMC	M21	3	0.20161290322580644	FAM76B	FALSE	-	FALSE	71127	MAML2	278778	chr11+95697813
chr12	101873992	-	hg38	5	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	DRAM1	FALSE	+	FALSE	-3333	DRAM1	-3333	chr12-101873992
chr12	10232984	-	hg38	5	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	KLRD1	FALSE	+	FALSE	-5975	KLRK1	139367	chr12-10232984
chr12	105222494	-	hg38	1741	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	APPL2	TRUE	-	FALSE	0	HSP90B1	1274563	chr12-105222494
chr12	106301351	-	hg38	19	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	TCP11L2	FALSE	+	FALSE	-1438	CORO1C	2343756	chr12-106301351
chr12	122895165	-	hg38	4813	p402	402	GTSP3599	PBMC	M21	4	0.2688172043010753	VPS37B	TRUE	-	FALSE	0	DENR	124100	chr12-122895165
chr12	15699038	-	hg38	5799	p402	402	GTSP3599	PBMC	M21	7	0.47043010752688175	EPS8	TRUE	-	FALSE	-0	EPS8	-0	chr12-15699038
chr12	15701358	-	hg38	921	p402	402	GTSP3599	PBMC	M21	3	0.20161290322580644	EPS8	TRUE	-	FALSE	-0	EPS8	-0	chr12-15701358
chr12	1920331	-	hg38	5	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	CACNA2D4	FALSE	-	FALSE	-1626	ERC1	424397	chr12-1920331
chr12	2626883	-	hg38	2152	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	CACNA1C	TRUE	+	FALSE	-0	FOXM1	230796	chr12-2626883
chr12	29242039	-	hg38	4281	p402	402	GTSP3599	PBMC	M21	12	0.8064516129032258	FAR2	TRUE	+	FALSE	0	PTHLH	-1270055	chr12-29242039
chr12	31323776	-	hg38	276	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	SINHCAF	TRUE	-	FALSE	0	PTHLH	-3351792	chr12-31323776
chr12	38411337	-	hg38	25	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	ALG10B	FALSE	+	FALSE	81610	ARID2	-7318370	chr12-38411337
chr12	3933903	-	hg38	87	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	PARP11	FALSE	-	FALSE	-60454	CCND2-AS1	314862	chr12-3933903
chr12	46483418	-	hg38	1507	p402	402	GTSP3599	PBMC	M21	7	0.47043010752688175	LOC100288798	TRUE	+	FALSE	0	SLC38A2	-110555	chr12-46483418
chr12	47817958	-	hg38	67	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	HDAC7	TRUE	-	FALSE	0	PCED1B	581294	chr12-47817958
chr12	52024491	-	hg38	476	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	NR4A1	TRUE	+	FALSE	0	ACVR1B	27411	chr12-52024491
chr12	57460334	-	hg38	88	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	GLI1	TRUE	+	FALSE	0	GLI1	0	chr12-57460334
chr12	639300	-	hg38	2	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	NINJ2,LOC100049716	TRUE	-,+	FALSE	0	KDM5A	-249844	chr12-639300
chr12	65963011	-	hg38	1099	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	HMGA2	TRUE	+	FALSE	-0	HMGA2	-0	chr12-65963011
chr12	71503569	-	hg38	255	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	LGR5	TRUE	+	FALSE	0	TSPAN8	-345569	chr12-71503569
chr12	96212493	-	hg38	51	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	ELK3	TRUE	+	FALSE	0	ELK3	0	chr12-96212493
chr12	109204009	+	hg38	2	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	ACACB	TRUE	+	FALSE	-0	CORO1C	-472458	chr12+109204009
chr12	110350162	+	hg38	76	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	ATP2A2	TRUE	+	TRUE	-0	PPTC7	184268	chr12+110350162
chr12	113421772	+	hg38	190	p402	402	GTSP3599	PBMC	M21	4	0.2688172043010753	SDSL	FALSE	+	FALSE	-616	PTPN11	911853	chr12+113421772
chr12	121597737	+	hg38	3	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	KDM2B	FALSE	-	FALSE	-16721	KDM2B	-16721	chr12+121597737
chr12	123761456	+	hg38	1681	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	ATP6V0A2	TRUE	+	TRUE	-0	SBNO1	-396246	chr12+123761456
chr12	131223014	+	hg38	80	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	LINC01257	FALSE	+	FALSE	10082	RAN	345335	chr12+131223014
chr12	132450746	+	hg38	9	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	FBRSL1	FALSE	+	FALSE	-39823	EP400	370279	chr12+132450746
chr12	2300899	+	hg38	2734	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	CACNA1C	TRUE	+	FALSE	0	FOXM1	556780	chr12+2300899
chr12	24946709	+	hg38	2712	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	BCAT1	TRUE	-	FALSE	0	LRMP	-105536	chr12+24946709
chr12	25279057	+	hg38	157	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	KRAS	FALSE	-	FALSE	-28125	KRAS	-28125	chr12+25279057
chr12	38736899	+	hg38	2257	p402	402	GTSP3599	PBMC	M21	3	0.20161290322580644	CPNE8	TRUE	-	FALSE	-0	ARID2	-6992808	chr12+38736899
chr12	4270917	+	hg38	436	p402	402	GTSP3599	PBMC	M21	3	0.20161290322580644	CCND2-AS1	TRUE	-	FALSE	0	CCND2-AS1	0	chr12+4270917
chr12	49188842	+	hg38	1107	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	TUBA1A	TRUE	-	TRUE	0	KMT2D	-133517	chr12+49188842
chr12	53625823	+	hg38	4	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	ATF7	TRUE	-	FALSE	0	HOXC13	-312967	chr12+53625823
chr12	54305356	+	hg38	81	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	NFE2	FALSE	-	FALSE	-4318	PPP1R1A	273882	chr12+54305356
chr12	56689035	+	hg38	2076	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	PTGES3	FALSE	-	FALSE	-626	NACA	23390	chr12+56689035
chr12	57428881	+	hg38	1619	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	R3HDM2	TRUE	-	FALSE	0	INHBE	-26408	chr12+57428881
chr12	631709	+	hg38	14	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	NINJ2,LOC100049716	TRUE	-,+	FALSE	0	KDM5A	-242253	chr12+631709
chr12	65930403	+	hg38	30	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	HMGA2	TRUE	+	FALSE	-0	HMGA2	-0	chr12+65930403
chr12	68598629	+	hg38	291	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	RAP1B	FALSE	+	FALSE	-12208	RAP1B	-12208	chr12+68598629
