chromosome	position	strand	refGenome	reads	subject	externalSampleID	internalSampleID	cellType	timePoint	estAbund	relAbund	nearestFeature	inFeature	nearestFeatureStrand	inFeatureExon	nearestFeatureDist	nearestOncoFeature	nearestOncoFeatureDist
chr1	200644819	-	hg38	222	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	DDX59	TRUE	-	FALSE	-0	KIF14	-24084
chr1	21056006	-	hg38	85	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	EIF4G3	TRUE	-	FALSE	0	CDA	437097
chr1	21710260	-	hg38	61	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	USP48	TRUE	-	FALSE	-0	RAP1GAP	-40879
chr1	228791214	-	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	RHOU	FALSE	+	FALSE	44544	OBSCN	412339
chr1	229538171	-	hg38	15	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ABCB10	TRUE	-	FALSE	0	ABCB10	0
chr1	229620413	-	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	TAF5L	TRUE	-	FALSE	0	ABCB10	-61717
chr1	23305194	-	hg38	3	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	HNRNPR	TRUE	-	TRUE	-0	E2F2	201232
chr1	26714803	-	hg38	126	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ARID1A	TRUE	+	FALSE	0	ARID1A	0
chr1	27470006	-	hg38	14	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	WASF2	TRUE	-	FALSE	0	WASF2	0
chr1	39149878	-	hg38	13	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	MACF1	TRUE	+	FALSE	0	MACF1	0
chr1	53832400	-	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	NDC1	TRUE	-	FALSE	0	SSBP3	393029
chr1	63485675	-	hg38	50	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ITGB3BP	TRUE	-	FALSE	0	PATJ	1321754
chr1	70188086	-	hg38	7	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	LRRC40	TRUE	-	FALSE	0	DIRAS3	-2136454
chr1	94083414	-	hg38	72	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ABCA4	TRUE	-	TRUE	0	ALG14	899307
chr1	101344798	+	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	LINC01307	TRUE	+	FALSE	0	COL11A1	1531667
chr1	112943998	+	hg38	255	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SLC16A1	TRUE	-	FALSE	0	SLC16A1	0
chr1	114464109	+	hg38	17	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	TRIM33	TRUE	-	FALSE	0	TRIM33	0
chr1	1275786	+	hg38	3	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	UBE2J2	FALSE	-	FALSE	-1931	MIB2	-339627
chr1	150377191	+	hg38	14	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	RPRD2	TRUE	+	FALSE	0	APH1A	-107981
chr1	156543917	+	hg38	134	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	IQGAP3	TRUE	-	FALSE	-0	MEF2D	-43074
chr1	158399192	+	hg38	14	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	OR10T2	TRUE	-	TRUE	0	FCRL4	-801111
chr1	165738854	+	hg38	98	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	TMCO1	TRUE	-	FALSE	-0	PBX1	852806
chr1	167328001	+	hg38	270	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	POU2F1	TRUE	+	FALSE	-0	GPA33	-237369
chr1	197173950	+	hg38	12	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ZBTB41	TRUE	-	FALSE	-0	ASPM	-27255
chr1	21144593	+	hg38	52	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	EIF4G3	TRUE	-	FALSE	0	RAP1GAP	451626
chr1	27470002	+	hg38	110	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	WASF2	TRUE	-	FALSE	0	WASF2	0
chr1	31881558	+	hg38	121	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	PTP4A2	FALSE	-	FALSE	24861	COL16A1	-177390
chr1	31921194	+	hg38	3	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	PTP4A2	TRUE	-	FALSE	-0	COL16A1	-217026
chr1	31933865	+	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	PTP4A2	TRUE	-	FALSE	0	COL16A1	-229697
chr1	37924989	+	hg38	73	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	INPP5B	TRUE	-	FALSE	0	RSPO1	-290065
chr1	42273257	+	hg38	10	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	FOXJ3	TRUE	-	FALSE	0	HIVEP3	-237331
chr1	43715553	+	hg38	12	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ST3GAL3,LOC101929592	TRUE	+,-	FALSE	-0	CDC20	352349
chr1	44900622	+	hg38	3	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	EIF2B3	TRUE	-	FALSE	-0	PTCH2	-57677
chr1	6391905	+	hg38	7	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ACOT7	TRUE	-	FALSE	0	ZBTB48	-188084
chr10	123041658	-	hg38	32	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ACADSB	TRUE	+	FALSE	-0	DMBT1	397921
chr10	129573848	-	hg38	2	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	MGMT	TRUE	+	FALSE	0	PTPRE	1487992
chr10	22381108	-	hg38	2	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SPAG6	TRUE	+	FALSE	0	BMI1	49622
chr10	31430592	-	hg38	171	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ZEB1	TRUE	+	FALSE	-0	MAP3K8	968758
chr10	31830276	-	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ARHGAP12	TRUE	-	FALSE	-0	MAP3K8	1368442
chr10	38041058	-	hg38	5	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ZNF33A	TRUE	+	FALSE	-0	RET	-5035967
chr10	91187437	-	hg38	46	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	PCGF5	TRUE	+	FALSE	0	HHEX	-1502485
chr10	91951617	-	hg38	187	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	BTAF1	TRUE	+	FALSE	0	HHEX	-738305
chr10	103991757	+	hg38	22	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SLK	TRUE	+	FALSE	0	SUFU	1358299
chr10	114858759	+	hg38	9	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	FAM160B1	TRUE	+	FALSE	0	TCF7L2	1691080
chr10	121960590	+	hg38	6	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	NSMCE4A	TRUE	-	FALSE	-0	FGFR2	-362131
chr10	124778831	+	hg38	4	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	EEF1AKMT2	TRUE	-	FALSE	0	EDRF1	-940682
chr10	3072990	+	hg38	132	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	PFKP	TRUE	+	FALSE	0	KLF6	703004
chr10	31482331	+	hg38	57	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ZEB1	TRUE	+	FALSE	-0	MAP3K8	1020497
chr10	68961574	+	hg38	57	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	DDX21	TRUE	+	FALSE	0	TET1	267091
chr10	94349119	+	hg38	2	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	NOC3L	TRUE	-	FALSE	0	LGI1	550944
chr11	119274747	-	hg38	5	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	CBL	TRUE	+	FALSE	-0	CBL	-0
chr11	126141533	-	hg38	20	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	RPUSD4	FALSE	-	FALSE	60559	SPA17	1446738
chr11	134662473	-	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	LOC729305	FALSE	+	FALSE	-73470	OPCML	-1129860
chr11	64737626	-	hg38	5	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	RASGRP2	TRUE	-	FALSE	0	RASGRP2	0
chr11	65284948	-	hg38	101	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	POLA2	TRUE	+	FALSE	-0	FRMD8	-101620
chr11	65425808	-	hg38	2	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	NEAT1	TRUE	+	TRUE	0	FRMD8	12282
chr11	65432630	-	hg38	63	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	NEAT1	TRUE	+	TRUE	0	FRMD8	19104
chr11	66062731	-	hg38	6	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SF3B2	TRUE	+	FALSE	-0	CST6	49225
chr11	66128517	-	hg38	5	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	PACS1	TRUE	+	FALSE	0	CST6	115011
chr11	66147658	-	hg38	2	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	PACS1	TRUE	+	FALSE	0	CST6	134152
chr11	68180583	-	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	KMT5B	TRUE	-	FALSE	-0	CHKA	-59191
chr11	748636	-	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	TALDO1	TRUE	+	FALSE	0	CD151	-84314
chr11	83281133	-	hg38	242	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	CCDC90B	TRUE	-	FALSE	0	PICALM	2676036
chr11	134209050	+	hg38	64	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	NCAPD3	TRUE	-	FALSE	0	OPCML	-676437
chr11	62869511	+	hg38	3	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SLC3A2	TRUE	+	FALSE	0	FEN1	1072266
chr11	66319718	+	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	CD248	FALSE	-	FALSE	-2673	CD248	-2673
chr11	67128413	+	hg38	199	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	KDM2A	TRUE	+	FALSE	0	RAD9A	-263537
chr11	67212702	+	hg38	9	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	KDM2A	TRUE	+	FALSE	-0	RAD9A	-179248
chr11	72939454	+	hg38	27	C4_Top	xxx	GTSP5387	T-CELLS	1	2	0.36036036036036034	FCHSD2	TRUE	-	FALSE	-0	INPPL1	700306
chr11	73505025	+	hg38	11	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	FAM168A	TRUE	-	FALSE	0	PLEKHB1	-141151
chr11	86265026	+	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	EED	TRUE	+	FALSE	-0	ME3	176080
chr11	9582256	+	hg38	42	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	WEE1	TRUE	+	FALSE	-0	SWAP70	-81819
chr12	110314442	-	hg38	40	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ATP2A2	TRUE	+	FALSE	0	PPTC7	219988
chr12	116233325	-	hg38	115	C4_Top	xxx	GTSP5387	T-CELLS	1	2	0.36036036036036034	MED13L	TRUE	-	FALSE	0	PEBP1	-1902557
chr12	120814622	-	hg38	321	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SPPL3	TRUE	-	FALSE	-0	SPPL3	-0
chr12	120838202	-	hg38	80	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SPPL3	TRUE	-	FALSE	0	SPPL3	0
chr12	122603141	-	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	KNTC1	TRUE	+	TRUE	-0	DENR	-149678
chr12	123213758	-	hg38	278	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	MPHOSPH9	TRUE	-	FALSE	0	CDK2AP1	47210
chr12	26895579	-	hg38	120	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	INTS13	FALSE	-	FALSE	9598	STK38L	-348564
chr12	26927555	-	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	INTS13	TRUE	-	FALSE	0	STK38L	-316588
chr12	30665328	-	hg38	31	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	IPO8	TRUE	-	FALSE	0	PTHLH	-2693344
chr12	49415580	-	hg38	233	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SPATS2	TRUE	+	FALSE	0	FMNL3	222359
chr12	53469335	-	hg38	75	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	PCBP2	TRUE	+	FALSE	-0	RARG	-237078
chr12	54977155	-	hg38	290	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	TESPA1	TRUE	-	FALSE	0	PPP1R1A	-388495
chr12	55808152	-	hg38	68	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SARNP	TRUE	-	FALSE	0	SARNP	0
chr12	55968359	-	hg38	200	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	CDK2	TRUE	+	FALSE	0	CDK2	0
chr12	70287941	-	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	CNOT2	TRUE	+	FALSE	0	TSPAN8	837154
chr12	78842470	-	hg38	61	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SYT1	FALSE	+	FALSE	-21521	PAWR	742402
chr12	96298753	-	hg38	130	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	CDK17	TRUE	-	FALSE	-0	ELK3	28917
chr12	121416231	+	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	RNF34	TRUE	+	TRUE	-0	KDM2B	12863
chr12	123225219	+	hg38	675	C4_Top	xxx	GTSP5387	T-CELLS	1	2	0.36036036036036034	MPHOSPH9	TRUE	-	FALSE	0	CDK2AP1	35749
chr12	1322062	+	hg38	19	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ERC1	TRUE	+	FALSE	-0	ERC1	-0
chr12	26959932	+	hg38	129	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	FGFR1OP2	TRUE	+	FALSE	-0	STK38L	-284211
chr12	49388129	+	hg38	8	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SPATS2	TRUE	+	FALSE	0	FMNL3	249810
chr12	50438468	+	hg38	72	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	LARP4	TRUE	+	FALSE	0	ATF1	-325536
chr12	50698548	+	hg38	75	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	DIP2B	TRUE	+	FALSE	-0	ATF1	-65456
chr12	56110926	+	hg38	4	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	PA2G4	TRUE	+	FALSE	-0	ERBB3	7418
chr12	57034205	+	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	MYO1A	TRUE	-	FALSE	-0	NAB2	-54687
chr12	6610717	+	hg38	32	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	CHD4	FALSE	-	FALSE	-3283	ING4	39819
chr12	95487406	+	hg38	67	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	METAP2	TRUE	+	FALSE	0	METAP2	0
chr13	67353036	-	hg38	18	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	LINC00364	FALSE	+	FALSE	-19349	KLF5	-5701938
chr13	75319239	-	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	TBC1D4	TRUE	-	FALSE	-0	LMO7	-301193
chr13	77087215	-	hg38	209	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	MYCBP2,MYCBP2-AS1	TRUE	-,+	FALSE	-0	LMO7	1227344
chr13	20833014	+	hg38	345	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	XPO4	TRUE	-	FALSE	-0	LATS2	140020
chr13	21425251	+	hg38	290	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ZDHHC20	TRUE	-	FALSE	0	FGF9	-245823
chr13	32368361	+	hg38	145	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	BRCA2	TRUE	+	FALSE	-0	BRCA2	-0
chr13	40981074	+	hg38	3	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ELF1	TRUE	-	FALSE	0	FOXO1	-314476
chr13	46369283	+	hg38	74	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	RUBCNL	TRUE	-	FALSE	0	LCP1	-186958
chr13	47938816	+	hg38	34	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SUCLA2	FALSE	-	FALSE	3838	RB1	-364929
chr13	47995819	+	hg38	120	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SUCLA2	TRUE	-	FALSE	0	RB1	-307926
chr13	57454471	+	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	PCDH17	FALSE	+	FALSE	-177182	OLFM4	4402409
chr13	74045427	+	hg38	73	C4_Top	xxx	GTSP5387	T-CELLS	1	3	0.5405405405405406	KLF12	TRUE	-	FALSE	0	KLF5	967884
chr13	75560211	+	hg38	97	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	UCHL3	TRUE	+	FALSE	0	LMO7	-60221
chr13	81780855	+	hg38	16	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	LINC00564	FALSE	-	FALSE	-553871	POU4F1	-3177294
chr13	87536254	+	hg38	50	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	MIR4500HG	TRUE	-	FALSE	-0	MIR17	-3814349
chr14	103973240	-	hg38	231	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	TDRD9	TRUE	+	FALSE	0	XRCC3	-257753
chr14	106578292	-	hg38	31	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	LINC00221	FALSE	+	FALSE	82776	ELK2AP	-905484
chr14	24152001	-	hg38	71	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	RNF31	TRUE	+	FALSE	0	BCL2L2	840241
chr14	53474390	-	hg38	159	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	LOC101927620	FALSE	+	FALSE	316861	CDKN3	-922476
chr14	58354790	-	hg38	42	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ARID4A	TRUE	+	FALSE	-0	ARID4A	-0
chr14	63914601	-	hg38	22	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SYNE2	TRUE	+	FALSE	0	SYNE2	0
chr14	65545965	-	hg38	242	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	FUT8	TRUE	+	FALSE	0	FUT8	0
chr14	103565759	+	hg38	55	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	APOPT1	TRUE	+	FALSE	0	XRCC3	131856
chr14	104768271	+	hg38	60	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	AKT1	FALSE	-	FALSE	1076	AKT1	1076
chr14	106667717	+	hg38	31	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	LINC00221	FALSE	+	FALSE	172201	ELK2AP	-994909
chr14	106690532	+	hg38	99	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	MIR5195	FALSE	-	FALSE	160351	ELK2AP	-1017724
chr14	59137919	+	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	DAAM1	FALSE	+	FALSE	-50742	ARID4A	764185
chr14	64048364	+	hg38	97	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SYNE2	TRUE	+	FALSE	-0	SYNE2	-0
chr14	69618241	+	hg38	122	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SUSD6	TRUE	+	FALSE	0	ZFP36L1	-821997
chr14	69660667	+	hg38	2	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SUSD6	TRUE	+	FALSE	0	ZFP36L1	-864423
chr14	80983287	+	hg38	16	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	TSHR	TRUE	+	FALSE	0	TSHR	0
chr14	91469455	+	hg38	288	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	PPP4R3A	TRUE	-	FALSE	-0	GPR68	-215574
chr15	27568070	-	hg38	20	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	GABRG3	FALSE	+	FALSE	34842	UBE3A	-2129013
chr15	27628862	-	hg38	140	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	GABRG3	FALSE	+	FALSE	95634	UBE3A	-2189805
chr15	64647549	-	hg38	190	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ZNF609	TRUE	+	FALSE	-0	USP3	1052908
chr15	69429924	-	hg38	27	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	KIF23	TRUE	+	FALSE	0	ANP32A	-609001
chr15	72526972	-	hg38	99	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ARIH1	TRUE	+	FALSE	0	PKM	-295347
chr15	75379711	-	hg38	37	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SIN3A	TRUE	-	FALSE	-0	NEIL1	24459
chr15	75849022	-	hg38	110	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	UBE2Q2	TRUE	+	FALSE	0	CSPG4	-136173
chr15	82213755	-	hg38	255	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	EFL1	TRUE	-	FALSE	0	IL16	900991
chr15	82614755	-	hg38	30	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	CPEB1	TRUE	-	FALSE	0	ADAMTSL3	-1039329
chr15	90564703	-	hg38	62	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	CRTC3	TRUE	+	FALSE	0	CRTC3	0
chr15	92933548	-	hg38	386	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	CHD2	TRUE	+	FALSE	0	CHD2	0
chr15	40604516	+	hg38	141	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	KNL1	TRUE	+	FALSE	0	KNL1	0
chr15	40803183	+	hg38	1	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	DNAJC17	TRUE	-	FALSE	0	SPINT1	-40863
chr15	42570952	+	hg38	13	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	HAUS2	FALSE	+	FALSE	957	TYRO3	991613
chr15	42970507	+	hg38	2	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	UBR1	TRUE	-	FALSE	-0	TYRO3	1391168
chr15	43469384	+	hg38	36	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	TP53BP1	TRUE	-	FALSE	0	B2M	-1242101
chr15	58741184	+	hg38	83	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ADAM10	TRUE	-	FALSE	0	GCNT3	-870597
chr15	63538532	+	hg38	196	C4_Top	xxx	GTSP5387	T-CELLS	1	2	0.36036036036036034	USP3	TRUE	+	FALSE	0	USP3	0
chr15	63540966	+	hg38	297	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	USP3	TRUE	+	FALSE	0	USP3	0
chr15	72581365	+	hg38	110	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ARIH1	TRUE	+	FALSE	-0	PKM	-349740
chr15	72752162	+	hg38	13	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	ADPGK	TRUE	-	TRUE	-0	PKM	-520537
chr15	78168130	+	hg38	36	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	IDH3A	TRUE	+	FALSE	-0	CHRNB4	455979
chr15	92934956	+	hg38	235	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	CHD2	TRUE	+	FALSE	0	CHD2	0
